Q1_Age_Group,Q2_Gender,Q3_Nationality,Q4_Area,Q5_Income,Q6_Language,Q7_Purchase_Frequency,Q8_Monthly_Spend,Q9_Channels,Q10_Channel_Reason,Q11_Brand_Loyalty,Q12_Switching_Triggers,Q13_Price_Premium,Q14_Product_Categories,Q15_Halal_Certified,Q15_Natural_Organic,Q15_Free_From_Chemicals,Q15_Dermatologist_Tested,Q15_Vegan_Cruelty_Free,Q15_Arabian_Heritage,Q16_Product_Format,Q17_Festival_Triggers,Q18_Gift_Purchases,Q19_Cultural_Values,Q20_Discovery_Methods,Q21_Influencer_Impact,Q22_AI_Tool_Interest,Q23_Discount_Type,Q24_Loyalty_Programme,Q25_Brand_Interest
35-44,Female,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Jumeirah / Umm Suqeim,"20,001-35,000",English,Monthly,101-200,"Hypermarkets (Carrefour, Lulu, Spinneys)",Trusted recommendations / expert staff,Neutral,Halal / clean / organic certification,11-25% more,Body care; Haircare; Fragrance / perfume / oud; Oral care,Not Important,Very Important,Not Important,Somewhat Important,Essential,Very Important,Spray / mist,Christmas / New Year; None - consistent spending,"Yes, occasionally (2-4 times/year)",Health and wellness; Scientific efficacy,Friends / family,Slightly,No,"Percentage discount (e.g., 20% off)",Likely,Interested
35-44,Male,"East Asian (Chinese, Korean, Japanese)",Deira / Bur Dubai / Al Karama,"10,001-20,000",English,Weekly,201-400,"Online marketplaces (Amazon.ae, Noon)",Ability to test / try before buying,Somewhat loyal,Lower price / better value,11-25% more,Face skincare; Body care; Haircare; Fragrance / perfume / oud; Colour cosmetics / makeup,Somewhat Important,Not Important,Not Important,Not Important,Very Important,Very Important,Rich cream / butter-based,Christmas / New Year; None - consistent spending,"Yes, occasionally (2-4 times/year)",Heritage and tradition; Scientific efficacy,YouTube; Google search / blogs,Slightly,Unsure,"Percentage discount (e.g., 20% off)",Likely,Neutral
18-24,Male,"Other Arab (Egyptian, Lebanese, Jordanian, etc.)",Jumeirah / Umm Suqeim,"10,001-20,000",Arabic,Every 2-3 months,101-200,"Online marketplaces (Amazon.ae, Noon); Brand websites / D2C apps",Convenience / delivery speed,Very loyal,Lower price / better value,11-25% more,Fragrance / perfume / oud,Very Important,Somewhat Important,Very Important,Not Important,Somewhat Important,Very Important,Lightweight gel / water-based; Multi-use / hybrid products,Dubai Shopping Festival (DSF / DSS),Rarely (once a year or less),Religious compliance (halal); Environmental sustainability,Instagram; YouTube,Very strongly,Unsure,Buy-one-get-one-free (BOGO),Likely,Neutral
18-24,Female,"Western Expat (European, American, Australian)",Deira / Bur Dubai / Al Karama,"10,001-20,000",English,Monthly,201-400,"Pharmacies (BinSina, Aster, Life Pharmacy); Online marketplaces (Amazon.ae, Noon); Brand websites / D2C apps",Convenience / delivery speed,Somewhat loyal,Superior ingredients / formulation,Up to 10% more,Face skincare; Body care; Haircare,Very Important,Very Important,Essential,Very Important,Very Important,Not Important,Rich cream / butter-based; Spray / mist,Christmas / New Year; Dubai Shopping Festival (DSF / DSS),"Yes, occasionally (2-4 times/year)",Social image and status,TikTok; YouTube,Moderately,Probably,"Percentage discount (e.g., 20% off)",Very likely,Very interested
55+,Female,Emirati,Deira / Bur Dubai / Al Karama,"Above 50,000",Arabic,Weekly,401-700,"Online marketplaces (Amazon.ae, Noon)",Best prices / discounts,Somewhat loyal,Lower price / better value,26-50% more,Haircare; Fragrance / perfume / oud; Men's grooming,Very Important,Very Important,Very Important,Very Important,Essential,Somewhat Important,Multi-use / hybrid products,Eid al-Adha; None - consistent spending,Rarely (once a year or less),Religious compliance (halal); Health and wellness,Friends / family,Not at all,Probably,Bundle deal,Likely,Neutral
25-34,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Mirdif / Al Warqa / Rashidiya,"20,001-35,000",English,Rarely / Only when needed,101-200,"Hypermarkets (Carrefour, Lulu, Spinneys); Duty-free shops; Baqala / convenience stores",Convenience / delivery speed,Neutral,Recommendation from a friend or influencer; Personalised products,26-50% more,Face skincare; Fragrance / perfume / oud; Men's grooming; Colour cosmetics / makeup,Somewhat Important,Very Important,Somewhat Important,Not Important,Somewhat Important,Essential,Spray / mist,Ramadan / Eid al-Fitr; Diwali; Christmas / New Year,"Yes, frequently (5+ times/year)",Social image and status,Celebrity endorsements,Slightly,Unsure,Buy-one-get-one-free (BOGO),Very likely,Very interested
18-24,Female,Emirati,Al Barsha / Discovery Gardens / JVC,"35,001-50,000",Arabic,Every 2 weeks,401-700,"Hypermarkets (Carrefour, Lulu, Spinneys); Online marketplaces (Amazon.ae, Noon)",Trusted recommendations / expert staff,Somewhat loyal,Recommendation from a friend or influencer,26-50% more,Face skincare; Colour cosmetics / makeup,Not Important,Essential,Somewhat Important,Very Important,Not Important,Essential,Lightweight gel / water-based; Sheet masks / single-use treatments,Ramadan / Eid al-Fitr; Christmas / New Year; Dubai Shopping Festival (DSF / DSS); Valentine's Day / Mother's Day,"Yes, occasionally (2-4 times/year)",Religious compliance (halal); Health and wellness,Instagram; Friends / family; Celebrity endorsements,Moderately,"Yes, definitely",Free shipping,Likely,Very interested
18-24,Female,Emirati,Mirdif / Al Warqa / Rashidiya,"10,001-20,000",Arabic,Every 2 weeks,101-200,"Online marketplaces (Amazon.ae, Noon); Subscription boxes",Widest product range,Somewhat loyal,Lower price / better value; Superior ingredients / formulation,11-25% more,Face skincare; Body care; Fragrance / perfume / oud; Colour cosmetics / makeup; Personal hygiene,Essential,Essential,Very Important,Very Important,Very Important,Essential,Serum / oil-based concentrate,Ramadan / Eid al-Fitr,"Yes, occasionally (2-4 times/year)",Religious compliance (halal); Environmental sustainability,TikTok; YouTube,Moderately,Probably,Bundle deal,Very likely,Interested
18-24,Male,"Other Arab (Egyptian, Lebanese, Jordanian, etc.)",Al Barsha / Discovery Gardens / JVC,"35,001-50,000",Arabic,Every 2 weeks,401-700,"Pharmacies (BinSina, Aster, Life Pharmacy); Duty-free shops; Hypermarkets (Carrefour, Lulu, Spinneys)",Exclusive products not available elsewhere,Somewhat loyal,Availability in my preferred store,11-25% more,Haircare; Fragrance / perfume / oud; Men's grooming; Oral care; Personal hygiene,Essential,Not Important,Very Important,Very Important,Very Important,Not Important,Lightweight gel / water-based,Ramadan / Eid al-Fitr; Eid al-Adha; Christmas / New Year; Valentine's Day / Mother's Day; Wedding season / family events,Rarely (once a year or less),Scientific efficacy,Instagram,Very strongly,Unsure,"Percentage discount (e.g., 20% off)",Very likely,Neutral
25-34,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Other,"20,001-35,000",English,Monthly,101-200,Duty-free shops,Ability to test / try before buying,Very loyal,Lower price / better value,Up to 10% more,Face skincare; Haircare,Essential,Somewhat Important,Not Important,Essential,Somewhat Important,Very Important,Lightweight gel / water-based; Rich cream / butter-based,None - consistent spending,"Yes, occasionally (2-4 times/year)",Environmental sustainability,Instagram; TikTok,Not at all,No,Loyalty points,Very likely,Very interested
35-44,Female,Other,Al Barsha / Discovery Gardens / JVC,Prefer not to say,Arabic,Every 2 weeks,401-700,"Brand websites / D2C apps; Hypermarkets (Carrefour, Lulu, Spinneys); Pharmacies (BinSina, Aster, Life Pharmacy)",Convenience / delivery speed,Low loyalty,Superior ingredients / formulation; Recommendation from a friend or influencer,11-25% more,Face skincare; Haircare; Fragrance / perfume / oud; Oral care; Personal hygiene,Very Important,Very Important,Somewhat Important,Somewhat Important,Not Important,Somewhat Important,Lightweight gel / water-based; Spray / mist,Eid al-Adha; Christmas / New Year; Valentine's Day / Mother's Day,Rarely (once a year or less),Religious compliance (halal); Social image and status,In-store browsing; Friends / family; Google search / blogs,Not at all,"Yes, definitely",Buy-one-get-one-free (BOGO),Very likely,Neutral
25-34,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Other,"10,001-20,000",English,Monthly,Above 700,"Online marketplaces (Amazon.ae, Noon)",Loyalty rewards / cashback,Very loyal,Halal / clean / organic certification; Personalised products,Up to 10% more,Face skincare; Haircare; Personal hygiene,Somewhat Important,Somewhat Important,Somewhat Important,Not Important,Very Important,Not Important,Spray / mist,Ramadan / Eid al-Fitr; None - consistent spending,Rarely (once a year or less),Social image and status,In-store browsing; Celebrity endorsements,Slightly,Probably,Loyalty points,Likely,Interested
25-34,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Dubai Marina / JBR / JLT,"10,001-20,000",Hindi / Urdu,Every 2-3 months,101-200,"Pharmacies (BinSina, Aster, Life Pharmacy)",Widest product range,Low loyalty,Attractive packaging / brand story; Halal / clean / organic certification,26-50% more,Face skincare; Fragrance / perfume / oud; Men's grooming; Oral care; Personal hygiene,Very Important,Somewhat Important,Essential,Essential,Essential,Not Important,Serum / oil-based concentrate; Spray / mist,Ramadan / Eid al-Fitr; Dubai Shopping Festival (DSF / DSS),Rarely (once a year or less),Scientific efficacy,Instagram; TikTok; Google search / blogs,Moderately,"Yes, definitely",Loyalty points,Very likely,Interested
35-44,Male,"Other Arab (Egyptian, Lebanese, Jordanian, etc.)",Downtown / Business Bay / DIFC,"10,001-20,000",English,Rarely / Only when needed,101-200,"Hypermarkets (Carrefour, Lulu, Spinneys); Pharmacies (BinSina, Aster, Life Pharmacy); Online marketplaces (Amazon.ae, Noon)",Convenience / delivery speed,Somewhat loyal,Recommendation from a friend or influencer; Personalised products,26-50% more,Face skincare; Haircare; Fragrance / perfume / oud; Men's grooming; Oral care; Personal hygiene,Very Important,Somewhat Important,Not Important,Very Important,Somewhat Important,Essential,Rich cream / butter-based; Serum / oil-based concentrate,Ramadan / Eid al-Fitr; Eid al-Adha,"Yes, occasionally (2-4 times/year)",Religious compliance (halal),Instagram; YouTube,Not at all,Probably,"Percentage discount (e.g., 20% off)",Very likely,Neutral
25-34,Female,"Other Arab (Egyptian, Lebanese, Jordanian, etc.)",Deira / Bur Dubai / Al Karama,"5,000-10,000",English,Monthly,201-400,"Hypermarkets (Carrefour, Lulu, Spinneys); Baqala / convenience stores; Online marketplaces (Amazon.ae, Noon)",Loyalty rewards / cashback,Neutral,Lower price / better value; Personalised products,Up to 10% more,Body care; Oral care; Personal hygiene,Essential,Somewhat Important,Not Important,Somewhat Important,Essential,Very Important,Spray / mist,Eid al-Adha,Rarely (once a year or less),Heritage and tradition,YouTube,Moderately,No,Buy-one-get-one-free (BOGO),Very unlikely,Interested
45-54,Male,Emirati,Other,"Above 50,000",Arabic,Monthly,401-700,"Beauty specialist stores (Sephora, Faces, MAC); Online marketplaces (Amazon.ae, Noon)",Best prices / discounts,Somewhat loyal,Lower price / better value; Recommendation from a friend or influencer,0% - would not pay more,Face skincare; Fragrance / perfume / oud; Men's grooming; Oral care; Personal hygiene,Somewhat Important,Very Important,Essential,Somewhat Important,Somewhat Important,Very Important,Rich cream / butter-based,Eid al-Adha; Dubai Shopping Festival (DSF / DSS),"Yes, frequently (5+ times/year)",Religious compliance (halal); Health and wellness,TikTok; YouTube; Google search / blogs,Slightly,Probably,"Percentage discount (e.g., 20% off)",Neutral,Interested
45-54,Male,"Western Expat (European, American, Australian)",Deira / Bur Dubai / Al Karama,"35,001-50,000",English,Monthly,Above 700,"Hypermarkets (Carrefour, Lulu, Spinneys); Beauty specialist stores (Sephora, Faces, MAC)",Widest product range,Somewhat loyal,Recommendation from a friend or influencer,26-50% more,Face skincare; Body care; Haircare; Fragrance / perfume / oud; Men's grooming,Not Important,Somewhat Important,Very Important,Very Important,Somewhat Important,Very Important,Serum / oil-based concentrate,Dubai Shopping Festival (DSF / DSS),"Yes, occasionally (2-4 times/year)",Environmental sustainability; Social image and status,Instagram; YouTube; Friends / family,Moderately,Probably,Free sample / trial size,Likely,Very interested
18-24,Male,"Other Arab (Egyptian, Lebanese, Jordanian, etc.)",Dubai Marina / JBR / JLT,"10,001-20,000",Arabic,Every 2 weeks,101-200,"Pharmacies (BinSina, Aster, Life Pharmacy)",Best prices / discounts,Somewhat loyal,Lower price / better value; Recommendation from a friend or influencer,26-50% more,Body care; Haircare; Fragrance / perfume / oud; Personal hygiene,Essential,Very Important,Somewhat Important,Not Important,Essential,Very Important,Sheet masks / single-use treatments; Multi-use / hybrid products,Ramadan / Eid al-Fitr; Christmas / New Year,"Yes, occasionally (2-4 times/year)",Religious compliance (halal); Environmental sustainability,Instagram; TikTok; Celebrity endorsements,Very strongly,Unsure,Free sample / trial size,Likely,Not interested at all
35-44,Non-binary / Prefer not to say,"Other Arab (Egyptian, Lebanese, Jordanian, etc.)",Deira / Bur Dubai / Al Karama,"5,000-10,000",Arabic,Monthly,Below 50,"Baqala / convenience stores; Beauty specialist stores (Sephora, Faces, MAC); Hypermarkets (Carrefour, Lulu, Spinneys)",Exclusive products not available elsewhere,No loyalty,Lower price / better value; Availability in my preferred store,0% - would not pay more,Body care; Haircare; Fragrance / perfume / oud; Oral care; Colour cosmetics / makeup,Somewhat Important,Very Important,Essential,Not Important,Essential,Somewhat Important,Serum / oil-based concentrate,Eid al-Adha; Christmas / New Year; Wedding season / family events,"Yes, frequently (5+ times/year)",Heritage and tradition,YouTube,Slightly,Probably,Buy-one-get-one-free (BOGO),Unlikely,Interested
25-34,Male,"Western Expat (European, American, Australian)",Al Barsha / Discovery Gardens / JVC,"10,001-20,000",Other,Every 2-3 months,401-700,"Pharmacies (BinSina, Aster, Life Pharmacy); Beauty specialist stores (Sephora, Faces, MAC); Online marketplaces (Amazon.ae, Noon)",Convenience / delivery speed,Somewhat loyal,Availability in my preferred store; Personalised products,11-25% more,Face skincare; Haircare; Fragrance / perfume / oud,Essential,Essential,Essential,Essential,Very Important,Somewhat Important,Rich cream / butter-based,Christmas / New Year; Valentine's Day / Mother's Day; Wedding season / family events,Rarely (once a year or less),Religious compliance (halal); Health and wellness,TikTok; Google search / blogs,Slightly,Probably,Free shipping,Very likely,Very interested
55+,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Dubai Marina / JBR / JLT,"35,001-50,000",English,Monthly,401-700,"Pharmacies (BinSina, Aster, Life Pharmacy); Online marketplaces (Amazon.ae, Noon)",Trusted recommendations / expert staff,Very loyal,Availability in my preferred store,More than 50% more,Face skincare; Fragrance / perfume / oud; Colour cosmetics / makeup,Essential,Very Important,Very Important,Very Important,Essential,Essential,Lightweight gel / water-based,Ramadan / Eid al-Fitr; Christmas / New Year,Rarely (once a year or less),Social image and status,YouTube; In-store browsing,Slightly,Probably,Subscription discount,Neutral,Interested
25-34,Female,"Other Arab (Egyptian, Lebanese, Jordanian, etc.)",Al Barsha / Discovery Gardens / JVC,"10,001-20,000",English,Monthly,101-200,"Hypermarkets (Carrefour, Lulu, Spinneys)",Widest product range,Somewhat loyal,Halal / clean / organic certification,26-50% more,Body care; Haircare; Fragrance / perfume / oud,Very Important,Somewhat Important,Very Important,Not Important,Somewhat Important,Very Important,Lightweight gel / water-based; Multi-use / hybrid products,Eid al-Adha; Diwali; Christmas / New Year; Valentine's Day / Mother's Day; Wedding season / family events,Rarely (once a year or less),Health and wellness,TikTok; In-store browsing,Moderately,Unsure,Free shipping,Likely,Interested
55+,Male,"East Asian (Chinese, Korean, Japanese)",Other,"20,001-35,000",English,Weekly,Above 700,Brand websites / D2C apps,Trusted recommendations / expert staff,Neutral,Availability in my preferred store,11-25% more,Face skincare; Body care; Haircare; Fragrance / perfume / oud; Men's grooming; Oral care; Personal hygiene,Somewhat Important,Essential,Essential,Essential,Not Important,Very Important,Spray / mist; Multi-use / hybrid products,Ramadan / Eid al-Fitr; Eid al-Adha; Dubai Shopping Festival (DSF / DSS),"Yes, frequently (5+ times/year)",Scientific efficacy,In-store browsing; TikTok; Instagram,Slightly,"Yes, definitely",Buy-one-get-one-free (BOGO),Very likely,Very interested
35-44,Non-binary / Prefer not to say,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Mirdif / Al Warqa / Rashidiya,"5,000-10,000",English,Weekly,201-400,"Baqala / convenience stores; Brand websites / D2C apps; Online marketplaces (Amazon.ae, Noon)",Ability to test / try before buying,Somewhat loyal,Lower price / better value; Superior ingredients / formulation,11-25% more,Face skincare; Body care; Haircare,Somewhat Important,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Sheet masks / single-use treatments,Eid al-Adha,Rarely (once a year or less),Environmental sustainability,Subscription boxes; In-store browsing; YouTube,Not at all,"Yes, definitely",Buy-one-get-one-free (BOGO),Likely,Interested
25-34,Female,Emirati,Dubai Marina / JBR / JLT,"35,001-50,000",Arabic,Monthly,101-200,"Hypermarkets (Carrefour, Lulu, Spinneys)",Loyalty rewards / cashback,Somewhat loyal,Superior ingredients / formulation,Up to 10% more,Face skincare; Body care; Haircare; Fragrance / perfume / oud; Personal hygiene,Essential,Essential,Essential,Essential,Very Important,Somewhat Important,Serum / oil-based concentrate,Ramadan / Eid al-Fitr; Diwali,Rarely (once a year or less),Social image and status,Instagram; YouTube,Moderately,Probably,Loyalty points,Very likely,Not very interested
25-34,Female,African,Dubai Marina / JBR / JLT,"20,001-35,000",Other,Monthly,201-400,"Hypermarkets (Carrefour, Lulu, Spinneys); Pharmacies (BinSina, Aster, Life Pharmacy)",Best prices / discounts,Somewhat loyal,Halal / clean / organic certification,26-50% more,Body care; Oral care; Colour cosmetics / makeup,Very Important,Essential,Not Important,Very Important,Not Important,Very Important,Spray / mist; Lightweight gel / water-based,Ramadan / Eid al-Fitr; Diwali; Dubai Shopping Festival (DSF / DSS),Rarely (once a year or less),Scientific efficacy; Health and wellness,TikTok; In-store browsing; Subscription boxes,Moderately,Probably,Buy-one-get-one-free (BOGO),Likely,Neutral
55+,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Jumeirah / Umm Suqeim,"35,001-50,000",English,Monthly,201-400,"Hypermarkets (Carrefour, Lulu, Spinneys); Pharmacies (BinSina, Aster, Life Pharmacy)",Widest product range,Very loyal,Lower price / better value; Recommendation from a friend or influencer,More than 50% more,Face skincare; Body care; Men's grooming,Very Important,Somewhat Important,Somewhat Important,Very Important,Very Important,Somewhat Important,Lightweight gel / water-based; Serum / oil-based concentrate,Ramadan / Eid al-Fitr; Diwali; Valentine's Day / Mother's Day; None - consistent spending,Rarely (once a year or less),Heritage and tradition; Social image and status,Google search / blogs,Not at all,Probably,Bundle deal,Likely,Very interested
45-54,Female,Emirati,Jumeirah / Umm Suqeim,"20,001-35,000",Arabic,Every 2-3 months,401-700,"Hypermarkets (Carrefour, Lulu, Spinneys); Online marketplaces (Amazon.ae, Noon)",Best prices / discounts,Neutral,Superior ingredients / formulation,26-50% more,Fragrance / perfume / oud; Colour cosmetics / makeup,Very Important,Not Important,Very Important,Essential,Essential,Very Important,Multi-use / hybrid products; Sheet masks / single-use treatments,None - consistent spending,"Yes, occasionally (2-4 times/year)",Heritage and tradition; Scientific efficacy,Instagram; TikTok; YouTube,Not at all,No,Buy-one-get-one-free (BOGO),Likely,Not very interested
18-24,Female,Other,Downtown / Business Bay / DIFC,"20,001-35,000",English,Rarely / Only when needed,101-200,"Hypermarkets (Carrefour, Lulu, Spinneys); Brand websites / D2C apps; Beauty specialist stores (Sephora, Faces, MAC)",Trusted recommendations / expert staff,Low loyalty,Lower price / better value,0% - would not pay more,Fragrance / perfume / oud; Colour cosmetics / makeup,Very Important,Somewhat Important,Essential,Very Important,Very Important,Very Important,Lightweight gel / water-based,Ramadan / Eid al-Fitr; Diwali; Wedding season / family events,"Yes, occasionally (2-4 times/year)",Heritage and tradition,Instagram; Friends / family,Very strongly,Unsure,Free sample / trial size,Likely,Interested
35-44,Non-binary / Prefer not to say,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Silicon Oasis / Academic City / Sports City,"10,001-20,000",English,Rarely / Only when needed,Below 50,"Online marketplaces (Amazon.ae, Noon); Hypermarkets (Carrefour, Lulu, Spinneys); Brand websites / D2C apps",Convenience / delivery speed,Somewhat loyal,Recommendation from a friend or influencer,0% - would not pay more,Body care; Oral care; Colour cosmetics / makeup; Personal hygiene,Somewhat Important,Not Important,Essential,Not Important,Essential,Somewhat Important,Multi-use / hybrid products; Serum / oil-based concentrate,Eid al-Adha; Wedding season / family events,Never,Scientific efficacy; Health and wellness,Google search / blogs; Celebrity endorsements,Slightly,Probably,Free shipping,Likely,Not very interested
25-34,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Jumeirah / Umm Suqeim,Prefer not to say,Hindi / Urdu,Every 2-3 months,50-100,"Pharmacies (BinSina, Aster, Life Pharmacy)",Ability to test / try before buying,Neutral,Superior ingredients / formulation,More than 50% more,Body care; Haircare,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Lightweight gel / water-based; Serum / oil-based concentrate,Ramadan / Eid al-Fitr; Dubai Shopping Festival (DSF / DSS); Wedding season / family events,Rarely (once a year or less),Heritage and tradition,TikTok; Instagram; Celebrity endorsements,Very strongly,"Yes, definitely","Percentage discount (e.g., 20% off)",Likely,Very interested
18-24,Female,"East Asian (Chinese, Korean, Japanese)",Mirdif / Al Warqa / Rashidiya,"10,001-20,000",English,Monthly,50-100,"Brand websites / D2C apps; Hypermarkets (Carrefour, Lulu, Spinneys); Pharmacies (BinSina, Aster, Life Pharmacy)",Loyalty rewards / cashback,Low loyalty,Lower price / better value,11-25% more,Face skincare; Haircare,Essential,Very Important,Somewhat Important,Not Important,Very Important,Very Important,Lightweight gel / water-based,Dubai Shopping Festival (DSF / DSS); Wedding season / family events,Never,Heritage and tradition,Instagram; Friends / family,Slightly,Probably,Free shipping,Very likely,Very interested
25-34,Male,"East Asian (Chinese, Korean, Japanese)",Mirdif / Al Warqa / Rashidiya,"Below 5,000",English,Monthly,Below 50,"Pharmacies (BinSina, Aster, Life Pharmacy); Hypermarkets (Carrefour, Lulu, Spinneys); Brand websites / D2C apps",Convenience / delivery speed,Neutral,Halal / clean / organic certification,0% - would not pay more,Face skincare; Haircare; Colour cosmetics / makeup; Personal hygiene,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Not Important,Not Important,Serum / oil-based concentrate; Multi-use / hybrid products,Wedding season / family events,Never,Religious compliance (halal),Subscription boxes,Very strongly,Probably,Loyalty points,Neutral,Interested
25-34,Male,Emirati,Downtown / Business Bay / DIFC,"35,001-50,000",Arabic,Every 2 weeks,201-400,"Beauty specialist stores (Sephora, Faces, MAC); Online marketplaces (Amazon.ae, Noon); Hypermarkets (Carrefour, Lulu, Spinneys)",Trusted recommendations / expert staff,Very loyal,Lower price / better value; Availability in my preferred store,Up to 10% more,Haircare; Fragrance / perfume / oud; Men's grooming; Oral care,Very Important,Very Important,Somewhat Important,Very Important,Very Important,Essential,Lightweight gel / water-based,Ramadan / Eid al-Fitr; Christmas / New Year,Rarely (once a year or less),Social image and status; Health and wellness,Instagram; Subscription boxes; TikTok,Slightly,No,Buy-one-get-one-free (BOGO),Very unlikely,Neutral
35-44,Male,"Other Arab (Egyptian, Lebanese, Jordanian, etc.)",Other,"5,000-10,000",English,Every 2-3 months,201-400,"Baqala / convenience stores; Hypermarkets (Carrefour, Lulu, Spinneys); Beauty specialist stores (Sephora, Faces, MAC)",Convenience / delivery speed,Somewhat loyal,Recommendation from a friend or influencer; Availability in my preferred store,0% - would not pay more,Face skincare; Haircare; Fragrance / perfume / oud; Men's grooming,Very Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Very Important,Rich cream / butter-based,Christmas / New Year; None - consistent spending,"Yes, occasionally (2-4 times/year)",Social image and status,Instagram; TikTok,Not at all,No,Subscription discount,Very likely,Not very interested
25-34,Female,"East Asian (Chinese, Korean, Japanese)",Al Barsha / Discovery Gardens / JVC,"5,000-10,000",English,Rarely / Only when needed,Below 50,"Hypermarkets (Carrefour, Lulu, Spinneys); Online marketplaces (Amazon.ae, Noon); Baqala / convenience stores",Loyalty rewards / cashback,Low loyalty,Lower price / better value,Up to 10% more,Face skincare; Body care; Oral care; Colour cosmetics / makeup,Somewhat Important,Very Important,Essential,Very Important,Somewhat Important,Not Important,Multi-use / hybrid products,None - consistent spending,"Yes, occasionally (2-4 times/year)",Religious compliance (halal),TikTok; Instagram; In-store browsing,Not at all,Unsure,Free shipping,Very likely,Interested
45-54,Male,"Western Expat (European, American, Australian)",Deira / Bur Dubai / Al Karama,"35,001-50,000",English,Weekly,201-400,"Pharmacies (BinSina, Aster, Life Pharmacy); Subscription boxes; Online marketplaces (Amazon.ae, Noon)",Convenience / delivery speed,Low loyalty,Lower price / better value; Recommendation from a friend or influencer,26-50% more,Face skincare; Body care; Haircare; Personal hygiene,Essential,Very Important,Essential,Essential,Somewhat Important,Somewhat Important,Lightweight gel / water-based; Serum / oil-based concentrate,Christmas / New Year; None - consistent spending,"Yes, occasionally (2-4 times/year)",Religious compliance (halal); Scientific efficacy,YouTube; Friends / family; In-store browsing,Not at all,Unsure,Buy-one-get-one-free (BOGO),Likely,Neutral
18-24,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Jumeirah / Umm Suqeim,"20,001-35,000",English,Every 2-3 months,201-400,"Pharmacies (BinSina, Aster, Life Pharmacy); Brand websites / D2C apps; Subscription boxes",Ability to test / try before buying,Low loyalty,Halal / clean / organic certification; Superior ingredients / formulation,0% - would not pay more,Face skincare; Fragrance / perfume / oud; Men's grooming; Oral care,Very Important,Somewhat Important,Essential,Very Important,Very Important,Very Important,Multi-use / hybrid products; Rich cream / butter-based,Diwali,Rarely (once a year or less),Health and wellness,Instagram,Moderately,"Yes, definitely","Percentage discount (e.g., 20% off)",Very likely,Neutral
25-34,Non-binary / Prefer not to say,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Deira / Bur Dubai / Al Karama,"10,001-20,000",English,Rarely / Only when needed,101-200,"Hypermarkets (Carrefour, Lulu, Spinneys); Pharmacies (BinSina, Aster, Life Pharmacy); Online marketplaces (Amazon.ae, Noon)",Ability to test / try before buying,Neutral,Lower price / better value; Availability in my preferred store,Up to 10% more,Face skincare; Haircare; Oral care,Somewhat Important,Essential,Very Important,Very Important,Somewhat Important,Somewhat Important,Multi-use / hybrid products,Eid al-Adha; Dubai Shopping Festival (DSF / DSS),Rarely (once a year or less),Scientific efficacy,YouTube; In-store browsing,Moderately,Probably,Buy-one-get-one-free (BOGO),Neutral,Not very interested
25-34,Male,Emirati,Dubai Marina / JBR / JLT,"35,001-50,000",Arabic,Every 2-3 months,201-400,"Hypermarkets (Carrefour, Lulu, Spinneys); Online marketplaces (Amazon.ae, Noon)",Exclusive products not available elsewhere,Somewhat loyal,Superior ingredients / formulation; Halal / clean / organic certification,Up to 10% more,Haircare; Men's grooming; Personal hygiene,Very Important,Somewhat Important,Essential,Somewhat Important,Somewhat Important,Essential,Spray / mist; Sheet masks / single-use treatments,Ramadan / Eid al-Fitr; Eid al-Adha; Dubai Shopping Festival (DSF / DSS); Valentine's Day / Mother's Day,Never,Religious compliance (halal); Environmental sustainability,YouTube; In-store browsing; TikTok,Slightly,Probably,Bundle deal,Neutral,Very interested
25-34,Male,"East Asian (Chinese, Korean, Japanese)",Al Barsha / Discovery Gardens / JVC,"20,001-35,000",Mandarin / Other Asian language,Every 2-3 months,101-200,Brand websites / D2C apps; Baqala / convenience stores,Ability to test / try before buying,Neutral,Superior ingredients / formulation; Attractive packaging / brand story,Up to 10% more,Face skincare; Body care,Very Important,Very Important,Very Important,Somewhat Important,Not Important,Somewhat Important,Lightweight gel / water-based; Rich cream / butter-based,Ramadan / Eid al-Fitr; Christmas / New Year,Rarely (once a year or less),Social image and status,TikTok; Friends / family; In-store browsing,Very strongly,Probably,Loyalty points,Likely,Not interested at all
